Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,35.439999,35.904999,35.410000,35.750000,30.067736,554600
2006-06-22,35.540001,35.540001,35.130001,35.369999,29.748135,273200
2006-06-23,35.160000,35.689999,35.064999,35.365002,29.743929,89200
2006-06-26,35.375000,35.584999,35.255001,35.570000,29.916344,75400
2006-06-27,35.685001,35.685001,34.939999,34.939999,29.386467,229400
2006-06-28,35.044998,35.349998,34.849998,35.250000,29.647203,85200
2006-06-29,35.750000,36.744999,35.695000,36.744999,30.904583,133600
2006-06-30,37.005001,37.049999,36.724998,36.724998,30.887768,181200
2006-07-03,36.924999,37.224998,36.880001,37.224998,31.308294,56800
2006-07-05,36.825001,36.884998,36.445000,36.730000,30.891960,148000
2006-07-06,36.849998,37.105000,36.730000,36.845001,30.988688,233200
2006-07-07,36.575001,36.889999,36.240002,36.419998,30.631239,142200
2006-07-10,36.724998,36.865002,36.349998,36.485001,30.685905,144000
2006-07-11,36.325001,36.820000,36.035000,36.794998,30.946638,385000
2006-07-12,36.755001,36.770000,35.919998,36.070000,30.336878,256400
2006-07-13,35.584999,35.759998,34.955002,34.980000,29.420122,347600
2006-07-14,34.869999,34.974998,34.250000,34.665001,29.155182,302200
2006-07-17,34.715000,34.900002,34.400002,34.630001,29.125753,113800
2006-07-18,34.875000,35.325001,34.055000,34.685001,29.172012,409800
2006-07-19,35.000000,36.099998,34.994999,35.875000,30.172873,438000
2006-07-20,36.200001,36.250000,35.375000,35.455002,29.819616,230600
2006-07-21,35.150002,35.305000,34.755001,34.895000,29.348629,256800
2006-07-24,35.235001,36.070000,35.235001,36.000000,30.277996,266800
2006-07-25,35.930000,36.645000,35.764999,36.455002,30.660675,342800
2006-07-26,36.220001,36.770000,36.070000,36.525002,30.719547,276400
2006-07-27,36.794998,36.900002,36.029999,36.174999,30.425184,358000
2006-07-28,36.355000,37.130001,36.330002,37.000000,31.119062,225800
2006-07-31,37.000000,37.000000,36.759998,36.900002,31.034945,113600
2006-08-01,36.500000,36.775002,36.224998,36.570000,30.757402,104600
2006-08-02,36.935001,37.275002,36.759998,36.849998,30.992891,146600
2006-08-03,36.500000,37.310001,36.500000,37.035000,31.148489,180200
2006-08-04,37.849998,37.875000,36.700001,37.025002,31.140074,344200
2006-08-07,36.799999,36.974998,36.650002,36.820000,30.967674,98200
2006-08-08,37.099998,37.169998,36.360001,36.520000,30.715340,115400
2006-08-09,36.855000,37.230000,36.200001,36.240002,30.479851,139400
2006-08-10,36.150002,36.625000,36.005001,36.560001,30.749002,323800
2006-08-11,36.500000,36.500000,36.049999,36.294998,30.526104,243800
2006-08-14,36.744999,37.380001,36.314999,36.419998,30.631239,193200
2006-08-15,36.985001,37.400002,36.889999,37.314999,31.383986,168800
2006-08-16,37.575001,38.005001,37.535000,37.939999,31.909643,224000
2006-08-17,37.930000,38.294998,37.840000,38.095001,32.040020,380800
2006-08-18,38.220001,38.349998,37.845001,38.250000,32.170380,166400
2006-08-21,38.000000,38.169998,37.950001,38.070000,32.018986,81200
2006-08-22,38.029999,38.330002,37.875000,38.134998,32.073647,139200
2006-08-23,38.185001,38.299999,37.580002,37.790001,31.783491,124600
2006-08-24,38.049999,38.049999,37.689999,37.930000,31.901239,176000
2006-08-25,37.869999,38.169998,37.790001,38.000000,31.960096,79400
2006-08-28,37.959999,38.459999,37.855000,38.325001,32.233459,138800
2006-08-29,38.294998,38.514999,37.935001,38.505001,32.384842,118400
2006-08-30,38.650002,38.650002,37.910000,38.500000,32.380619,58800
2006-08-31,38.375000,38.549999,38.349998,38.470001,32.355396,55600
2006-09-01,38.625000,38.900002,38.509998,38.860001,32.683411,113200
2006-09-05,38.834999,39.060001,38.709999,38.930000,32.742287,123000
2006-09-06,38.715000,38.715000,38.150002,38.250000,32.170380,112800
2006-09-07,37.904999,38.244999,37.720001,37.865002,31.846573,127200
2006-09-08,37.965000,38.205002,37.840000,38.134998,32.073647,112800
2006-09-11,37.904999,38.355000,37.639999,38.125000,32.065231,65600
2006-09-12,38.224998,38.935001,38.224998,38.869999,32.691811,134400
2006-09-13,38.970001,39.310001,38.820000,39.250000,33.011429,79600
2006-09-14,39.119999,39.154999,38.915001,39.060001,32.851616,100400
2006-09-15,39.575001,39.700001,39.244999,39.395000,33.133377,124800
2006-09-18,39.320000,39.595001,39.215000,39.389999,33.129162,68000
2006-09-19,39.279999,39.404999,38.790001,39.134998,32.914700,200600
2006-09-20,39.619999,39.740002,39.400002,39.610001,33.314209,155200
2006-09-21,39.799999,39.799999,39.029999,39.180000,32.952557,103200
2006-09-22,39.174999,39.174999,38.720001,38.965000,32.771729,70000
2006-09-25,39.310001,39.834999,38.820000,39.689999,33.381485,163600
2006-09-26,39.720001,40.240002,39.634998,40.209999,33.818840,152800
2006-09-27,40.325001,40.450001,40.090000,40.310001,33.902943,174400
2006-09-28,40.525002,40.730000,40.125000,40.439999,34.012287,178000
2006-09-29,40.424999,40.485001,40.230000,40.275002,33.873512,94400
2006-10-02,40.235001,40.365002,39.875000,39.939999,33.591755,90000
2006-10-03,39.924999,40.355000,39.689999,40.084999,33.713711,95600
2006-10-04,40.099998,41.080002,39.919998,41.025002,34.504311,209200
2006-10-05,41.150002,41.330002,40.974998,41.220001,34.668304,138000
2006-10-06,40.855000,41.119999,40.764999,41.099998,34.567375,327800
2006-10-09,40.974998,41.235001,40.860001,41.139999,34.601025,81800
2006-10-10,41.130001,41.330002,40.994999,41.264999,34.706165,82600
2006-10-11,40.980000,41.299999,40.685001,41.099998,34.567375,112400
2006-10-12,41.380001,41.889999,41.275002,41.834999,35.185547,300400
2006-10-13,41.750000,42.064999,41.674999,42.029999,35.349571,118800
2006-10-16,41.915001,42.250000,41.910000,42.160000,35.458881,122800
2006-10-17,41.849998,42.025002,41.424999,41.820000,35.172932,323200
2006-10-18,42.389999,42.395000,41.645000,41.939999,35.273857,299600
2006-10-19,41.820000,42.105000,41.735001,42.014999,35.336929,159400
2006-10-20,42.049999,42.349998,41.764999,42.075001,35.387405,105000
2006-10-23,41.849998,42.625000,41.790001,42.465000,35.715420,255200
2006-10-24,42.500000,42.654999,42.314999,42.654999,35.875221,106600
2006-10-25,42.654999,42.994999,42.525002,42.895000,36.077072,181800
2006-10-26,43.209999,43.360001,42.740002,43.264999,36.388264,268800
2006-10-27,42.884998,43.195000,42.509998,42.695000,35.908867,214400
2006-10-30,42.474998,42.825001,42.369999,42.639999,35.862606,185200
2006-10-31,42.799999,42.820000,42.259998,42.500000,35.744854,250000
2006-11-01,42.855000,42.884998,41.889999,41.994999,35.320133,252800
2006-11-02,41.775002,42.040001,41.654999,41.959999,35.290688,223400
2006-11-03,42.250000,42.250000,41.599998,41.700001,35.072014,262200
2006-11-06,42.099998,42.845001,42.009998,42.715000,35.925686,208000
2006-11-07,42.724998,43.325001,42.685001,42.939999,36.114922,229200
2006-11-08,42.575001,43.299999,42.424999,43.220001,36.350414,205600
2006-11-09,43.275002,43.314999,42.590000,42.724998,35.934093,215800
2006-11-10,42.785000,42.830002,42.485001,42.799999,35.997169,112000
2006-11-13,42.674999,43.240002,42.654999,42.974998,36.144344,164000
2006-11-14,43.275002,43.685001,42.700001,43.584999,36.657394,333200
2006-11-15,43.575001,44.119999,43.575001,43.895000,36.918140,361200
2006-11-16,44.055000,44.285000,43.939999,44.084999,37.077934,333600
2006-11-17,43.674999,44.090000,43.674999,44.075001,37.069527,115000
2006-11-20,43.955002,44.250000,43.889999,44.049999,37.048496,184600
2006-11-21,44.099998,44.200001,44.025002,44.185001,37.162037,84200
2006-11-22,44.290001,44.494999,44.139999,44.375000,37.321842,81400
2006-11-24,43.950001,44.305000,43.950001,44.025002,37.027462,16800
